country,best_model,cv_mse,gap_low_2080,H-70,H-80,H-90,M-70,M-80,M-90,L-70,L-80,L-90,converges_low70
"Korea, Rep.",Logistic,0.0152,-0.0201,2024,2024,X,2024,2024,2034,2024,2024,2031,True
Singapore,Linear,0.0014,0.0,2024,2024,2024,2024,2024,2024,2024,2024,2024,True
"Macao SAR, China",Logistic,0.1399,-0.1349,2024,2024,2024,2024,2024,2024,2024,2024,2024,True
"Hong Kong SAR, China",Logistic,0.0033,0.0,2024,2024,2024,2024,2024,2024,2024,2024,2024,True
Cyprus,Sqrt,0.0127,0.0,2027,2064,X,2026,2042,2060,2026,2038,2051,True
Romania,Logistic,0.0201,0.0,2029,2034,2038,2029,2033,2036,2028,2032,2036,True
Malta,Logistic,0.0194,-0.3066,X,X,X,2030,X,X,2028,X,X,True
Bosnia and Herzegovina,Sqrt,0.075,0.0,2034,2039,2044,2032,2037,2041,2032,2036,2040,True
China,Linear,0.0107,0.0,2035,2037,2039,2035,2037,2038,2035,2036,2038,True
Bulgaria,Logistic,0.0021,0.0,2043,X,X,2038,2049,2072,2036,2045,2056,True
Argentina,Logistic,0.0641,0.0,2041,2047,2052,2039,2044,2048,2037,2042,2047,True
Ecuador,Linear,0.0184,0.0,2038,2041,2044,2037,2040,2042,2037,2039,2041,True
Costa Rica,Quadratic,0.0042,0.0,2038,2041,2043,2037,2040,2042,2037,2039,2041,True
Russian Federation,Logistic,0.0322,-0.0346,2055,X,X,2043,2059,X,2040,2051,2066,True
Eswatini,Linear,0.0028,0.0,2045,2049,2053,2043,2047,2050,2042,2046,2049,True
Mauritius,Linear,0.0079,0.0,2048,2053,2058,2045,2050,2054,2044,2048,2052,True
Poland,Sqrt,0.0076,-0.0304,2077,X,X,2053,2070,X,2047,2060,2072,True
Latvia,Logistic,0.0373,-0.2984,X,X,X,X,X,X,2047,X,X,True
Kenya,Quadratic,0.0102,0.0,2050,2051,2052,2049,2050,2051,2049,2050,2051,True
Thailand,Linear,0.0043,0.0,2054,2059,2063,2051,2055,2059,2049,2053,2056,True
Malaysia,Linear,0.01,0.0,2055,2059,2063,2051,2055,2059,2050,2054,2057,True
Guinea,Quadratic,0.0164,0.0,2051,2052,2053,2050,2051,2052,2050,2051,2052,True
Georgia,Logistic,0.0893,0.0,2056,2059,2062,2053,2056,2059,2052,2055,2057,True
Lao PDR,Linear,0.0148,0.0,2062,2065,2067,2059,2062,2064,2058,2061,2063,True
Brazil,Linear,0.0089,0.0,2069,2077,X,2061,2068,2074,2058,2064,2069,True
Sri Lanka,Linear,0.0192,0.0,2070,2074,2078,2065,2069,2072,2062,2066,2070,True
Iraq,Sqrt,0.0423,0.0,2077,X,X,2069,2075,2080,2065,2071,2075,True
Mongolia,Linear,0.0498,0.0,2071,2075,2078,2067,2070,2073,2065,2068,2071,True
Uzbekistan,Logistic,0.0325,0.0,2077,X,X,2072,2076,2079,2070,2073,2076,True
India,Linear,0.0262,-0.119,X,X,X,2077,X,X,2074,2078,X,True
Rwanda,Logistic,0.0321,-0.1983,X,X,X,2080,X,X,2077,2080,X,True
