Country;Wages;Year;Working Hours;Employment ratio;Population;Hourly Wage (COP);Implied PPP conversion rate (COP/USD)
Colombia;2503680;2000;1956;53.748;39152000;1280;792.430
Colombia;2464560;2001;1956;57.463;39656000;1260;825.497
Colombia;2641600;2002;2032;56.952;40156000;1300;861.377
Colombia;2701440;2003;2016;58.52;40661000;1340;902.385
Colombia;2725440;2004;2004;57.539;41166000;1360;942.752
Colombia;21299.867;2005;;;;;
Colombia;23136.687;2006;;;;;
Colombia;23069.064;2007;;;;;
Colombia;25574.135;2008;;;;;
Colombia;26622.878;2009;;;;;
Colombia;27552.027;2010;;;;;
Colombia;27471.009;2011;;;;;
Colombia;28175.202;2012;;;;;
Colombia;28897.422;2013;;;;;
Colombia;28881.825;2014;;;;;
Colombia;28976.184;2015;;;;;
Colombia;28653.14;2016;;;;;
Colombia;29446.726;2017;;;;;
Colombia;30575.96;2018;;;;;
Colombia;30744.693;2019;;;;;
Colombia;34979.044;2020;;;;;
Colombia;31651.772;2021;;;;;
Colombia;28264.853;2022;;;;;
